"Assay"	"Sample Characteristic[organism]"	"Sample Characteristic Ontology Term[organism]"	"Sample Characteristic[individual]"	"Sample Characteristic Ontology Term[individual]"	"Sample Characteristic[age]"	"Sample Characteristic Ontology Term[age]"	"Sample Characteristic[developmental stage]"	"Sample Characteristic Ontology Term[developmental stage]"	"Sample Characteristic[sex]"	"Sample Characteristic Ontology Term[sex]"	"Sample Characteristic[organism part]"	"Sample Characteristic Ontology Term[organism part]"	"Sample Characteristic[progenitor cell type]"	"Sample Characteristic Ontology Term[progenitor cell type]"	"Sample Characteristic[cell type]"	"Sample Characteristic Ontology Term[cell type]"	"Sample Characteristic[cell line]"	"Sample Characteristic Ontology Term[cell line]"	"Sample Characteristic[sampling site]"	"Sample Characteristic Ontology Term[sampling site]"	"Sample Characteristic[growth condition]"	"Sample Characteristic Ontology Term[growth condition]"	"Sample Characteristic[disease]"	"Sample Characteristic Ontology Term[disease]"	"Factor Value[single cell identifier]"	"Factor Value Ontology Term[single cell identifier]"	"Factor Value[time]"	"Factor Value Ontology Term[time]"	"Factor Value[individual]"	"Factor Value Ontology Term[individual]"	"Factor Value[cell type]"	"Factor Value Ontology Term[cell type]"	"Factor Value[cell line]"	"Factor Value Ontology Term[cell line]"	"Factor Value[sampling site]"	"Factor Value Ontology Term[sampling site]"
"SRR2967240"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_D4_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967241"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_D5_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967242"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_D7_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967243"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_D8_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967244"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_D9_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967245"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E10_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967246"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E11_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967247"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E12_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967248"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E1_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967249"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E2_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967250"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E3_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967251"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E5_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967252"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E6_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967253"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E7_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967254"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E8_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967255"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_E9_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967256"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F10_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967257"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F11_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967258"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F12_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967259"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F2_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967260"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F3_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967261"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F4_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967262"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F5_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967263"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F7_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967264"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_F9_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967265"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G10_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967266"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G11_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967267"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G12_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967268"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G2_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967269"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G3_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967270"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G5_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967271"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_G9_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967272"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H10_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
"SRR2967273"	"Homo sapiens"	"http://purl.obolibrary.org/obo/NCBITaxon_9606"	"iPSC organoid 3"		"36 year"		"adult"	"http://www.ebi.ac.uk/efo/EFO_0001272"	"female"	"http://purl.obolibrary.org/obo/PATO_0000383"	"skin"	"http://purl.obolibrary.org/obo/UBERON_0000014"	"fibroblast"	"http://purl.obolibrary.org/obo/CL_0000057"	"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"		"organoid culture"		"normal"	"http://purl.obolibrary.org/obo/PATO_0000461"	"whOrg3_H11_hOrg37d"		"37 day"		"iPSC organoid 3"		"induced pluripotent stem cell"	"http://www.ebi.ac.uk/efo/EFO_0004905"	"409B2"		"whole cerebral organoid"	
